"","participant_id","income","num_skills"
"1",2,150000,15
"2",3,150000,21
"3",4,150000,22
"4",6,50000,15
"5",7,125000,22
"6",8,2e+05,24
"7",9,150000,38
"8",10,125000,25
"9",11,1e+05,31
"10",12,10000,20
"11",13,125000,9
"12",14,1e+05,38
"13",15,125000,28
"14",17,1e+05,15
"15",18,150000,30
"16",19,150000,28
"17",20,1e+05,29
"18",21,150000,16
"19",22,2e+05,15
"20",23,2e+05,27
"21",24,2e+05,34
"22",25,1e+05,20
"23",26,1e+05,16
"24",27,80000,40
"25",28,125000,20
"26",29,125000,34
"27",30,150000,23
"28",31,125000,25
"29",32,125000,25
"30",33,80000,15
"31",34,125000,17
"32",35,150000,23
"33",36,250000,19
"34",37,125000,25
"35",38,80000,18
"36",39,125000,28
"37",40,125000,17
"38",41,125000,22
"39",42,125000,18
"40",43,150000,36
"41",44,40000,39
"42",45,150000,38
"43",46,2e+05,34
"44",47,3e+05,19
"45",48,80000,9
"46",49,10000,13
"47",50,1e+05,24
"48",51,125000,24
"49",52,150000,13
"50",53,2e+05,32
"51",54,125000,21
"52",55,125000,26
"53",56,2e+05,20
"54",57,125000,19
"55",58,125000,51
"56",60,80000,12
"57",61,125000,18
"58",62,2e+05,23
"59",63,150000,27
"60",64,125000,35
"61",65,90000,22
"62",66,150000,33
"63",67,125000,40
"64",68,2e+05,22
"65",69,1e+05,18
"66",70,150000,11
"67",71,125000,32
"68",72,150000,19
"69",73,70000,18
"70",74,125000,22
"71",75,150000,19
"72",76,150000,21
"73",77,150000,21
"74",78,1e+05,15
"75",79,250000,48
"76",80,150000,13
"77",82,2e+05,20
"78",83,80000,17
"79",84,1e+05,15
"80",85,250000,13
"81",86,3e+05,16
"82",87,1e+05,34
"83",88,125000,26
"84",89,125000,20
"85",90,1e+05,22
"86",91,60000,21
"87",92,2e+05,34
"88",93,2e+05,23
"89",94,125000,16
"90",95,70000,21
"91",96,250000,23
"92",97,90000,27
"93",98,1e+05,16
"94",99,125000,15
"95",100,150000,28
"96",101,80000,27
"97",102,3e+05,21
"98",104,2e+05,28
"99",105,2e+05,25
"100",106,150000,21
"101",107,70000,21
"102",108,2e+05,20
"103",109,150000,26
"104",110,150000,15
"105",111,60000,27
"106",112,80000,29
"107",113,150000,15
"108",114,90000,19
"109",115,150000,22
"110",116,150000,22
"111",117,125000,21
"112",118,150000,16
"113",119,125000,22
"114",120,2e+05,20
"115",122,125000,21
"116",123,125000,14
"117",124,125000,13
"118",125,1e+05,18
"119",126,80000,18
"120",128,2e+05,17
"121",129,150000,18
"122",131,150000,31
"123",133,2e+05,16
"124",134,150000,30
"125",135,40000,24
"126",136,1e+05,9
"127",137,90000,33
"128",138,90000,12
"129",139,150000,17
"130",140,2e+05,19
"131",141,150000,23
"132",142,1e+05,15
"133",143,125000,21
"134",144,1e+05,25
"135",145,250000,27
"136",147,125000,22
"137",148,150000,23
"138",149,1e+05,24
"139",150,3e+05,37
"140",151,150000,23
"141",152,250000,30
"142",153,90000,18
"143",154,150000,23
"144",155,125000,22
"145",157,2e+05,18
"146",158,150000,17
"147",159,80000,20
"148",160,150000,34
"149",161,1e+05,17
"150",162,150000,14
"151",163,1e+05,16
"152",164,1e+05,26
"153",165,250000,20
"154",166,125000,27
"155",167,250000,41
"156",168,125000,17
"157",169,125000,26
"158",170,125000,21
"159",172,1e+05,27
"160",173,2e+05,12
"161",174,2e+05,16
"162",176,125000,30
"163",177,1e+05,30
"164",178,2e+05,27
"165",179,70000,26
"166",180,125000,16
"167",181,150000,19
"168",182,1e+05,20
"169",183,150000,24
"170",184,250000,26
"171",186,150000,13
"172",189,1e+05,28
"173",191,125000,39
"174",192,150000,31
"175",193,60000,36
"176",194,125000,24
"177",196,150000,13
"178",197,1e+05,18
"179",198,150000,26
"180",199,1e+05,26
"181",200,150000,25
"182",201,90000,19
"183",202,250000,18
"184",203,90000,18
"185",204,1e+05,22
"186",205,125000,18
"187",206,125000,39
"188",207,2e+05,27
"189",209,90000,22
"190",211,150000,17
"191",212,90000,23
"192",213,90000,22
"193",214,125000,21
"194",215,150000,16
"195",216,80000,15
"196",217,125000,37
"197",218,2e+05,24
"198",219,125000,28
"199",220,150000,19
"200",221,70000,16
"201",222,2e+05,13
"202",223,150000,22
"203",224,70000,15
"204",225,4e+05,30
"205",226,250000,23
"206",227,4e+05,12
"207",228,80000,18
"208",229,125000,26
"209",230,1e+05,21
"210",231,10000,20
"211",232,60000,18
"212",233,125000,22
"213",234,80000,18
"214",235,1e+05,16
"215",236,80000,29
"216",237,125000,25
"217",238,70000,22
"218",239,150000,23
"219",241,5e+05,24
"220",242,150000,27
"221",243,2e+05,27
"222",244,80000,23
"223",246,2e+05,27
"224",247,1e+05,39
"225",248,50000,33
"226",249,10000,30
"227",250,70000,33
"228",251,2e+05,22
"229",252,2e+05,50
